,rk,team,mp,w,d,l,gf,ga,gd,pts,pts/mp,xg,xga,xgd,xgd/90,last 5,attendance,top team scorer,goalkeeper,notes
0,1,Real Madrid,14,11,2,1,31,9,22,35,2.5,25.6,15.2,10.4,0.74,D W D W W,69236,Jude Bellingham - 11,Kepa Arrizabalaga,
1,2,Girona,14,11,2,1,32,17,15,35,2.5,26.3,18.2,8.1,0.58,W W W W D,12539,Artem Dovbyk - 7,Paulo Gazzaniga,
2,3,Atlético Madrid,13,10,1,2,30,12,18,31,2.38,24.6,11.3,13.3,1.02,W W L W W,58433,Antoine Griezmann - 9,Jan Oblak,
3,4,Barcelona,14,9,4,1,27,14,13,31,2.21,27.8,14.3,13.5,0.97,W L W W D,42219,Robert Lewandowski - 7,Marc-André ter Stegen,
4,5,Athletic Club,14,7,4,3,26,18,8,25,1.79,25.0,16.1,8.9,0.64,L D W W D,44845,"Iñaki Williams, Gorka Guruzeta - 6",Unai Simón,
5,6,Real Sociedad,14,7,4,3,25,17,8,25,1.79,18.9,16.4,2.5,0.18,W D L W W,32440,Mikel Oyarzabal - 7,Álex Remiro,
6,7,Betis,14,6,6,2,18,16,2,24,1.71,17.2,16.0,1.2,0.09,D W W D W,50974,Willian José - 6,Claudio Bravo,
7,8,Getafe,14,4,7,3,17,18,-1,19,1.36,15.1,19.5,-4.4,-0.31,D D W D W,11454,Borja Mayoral - 8,David Soria,
8,9,Rayo Vallecano,14,4,7,3,16,18,-2,19,1.36,18.6,23.4,-4.9,-0.35,W D D L D,13008,Álvaro García - 4,Stole Dimitrievski,
9,10,Valencia,14,5,4,5,16,18,-2,19,1.36,15.5,14.9,0.6,0.05,W D W L D,43291,Hugo Duro - 6,Giorgi Mamardashvili,
10,11,Las Palmas,14,5,3,6,11,13,-2,18,1.29,12.3,16.3,-4.1,-0.29,L W W D L,21214,"Jonathan Viera, Marc Cardona... - 2",Álvaro Vallés,
11,12,Villarreal,14,4,3,7,21,25,-4,15,1.07,18.9,24.3,-5.5,-0.39,D W L L W,18001,Gerard Moreno - 8,Filip Jørgensen,
12,13,Alavés,14,4,3,7,14,19,-5,15,1.07,18.4,17.2,1.2,0.08,D L W L W,17254,Samuel Omorodion - 4,Antonio Sivera,
13,14,Osasuna,14,4,2,8,16,24,-8,14,1.0,15.3,20.6,-5.3,-0.38,W L L D L,20357,Ante Budimir - 7,Sergio Herrera,
14,15,Sevilla,13,2,6,5,19,19,0,12,0.92,14.7,19.6,-4.9,-0.37,D D D D L,37007,Youssef En-Nesyri - 5,Ørjan Nyland,
15,16,Cádiz,13,2,4,7,10,20,-10,10,0.77,11.2,18.6,-7.4,-0.57,L L D L L,18667,"Darwin Machís, Chris Ramos - 3",Jeremías Ledesma,
16,17,Mallorca,13,1,6,6,12,19,-7,9,0.69,14.9,19.5,-4.6,-0.35,D L D L L,17545,"Abdón Prats, Vedat Muriqi - 4",Predrag Rajković,
17,18,Celta Vigo,14,1,5,8,14,24,-10,8,0.57,18.9,21.8,-2.9,-0.21,L L D L D,19447,Jørgen Strand Larsen - 4,Iván Villar,
18,19,Granada,14,1,4,9,19,33,-14,7,0.5,17.4,27.6,-10.2,-0.73,L L L D L,17866,"Myrto Uzuni, Bryan Zaragoza - 5",André Ferreira,
19,20,Almería,14,0,3,11,16,37,-21,3,0.21,18.9,24.6,-5.7,-0.41,L L L L L,14325,Sergio Arribas - 5,Luís Maximiano,
